variableName1,variableName2,codedName,reverseCoding,tidyDataPart
 Time spent (in minutes) on average (per interaction) in gathering information from this person,,SITimeMinutes2,,T
 Enter the initials/name of the third Individual,,SIName3,,T
 I consider this individual to be a ,I consider this individual to be a ,SICloseness3,,T
 This individual is my (select multiple),Manager,SIRelationManager3,,T
,Colleague,SIRelationColleague3,,T
,Subordinate,SIRelationSubordinate3,,T
,Family,SIRelationFamily3,,T
,Mentor/ Coach / Thought leader,SIRelationMentor3,,T
,Neighbor,SIRelationNeighbor3,,T
 I interact with this person to received information or advice,I interact with this person to received information or advice,SIFrequency3,,T
 The topics discussed with this individual (select multiple),Politics,SITopicPolitics3,,T
,Local events,SITopicLocalEvents3,,T
,Work,SITopicWork3,,T
,Friends,SITopicFriends3,,T
,Leisure,SITopicLeisure3,,T
,Family,SITopicFamily3,,T
" Amount of information relevant to innovation (product/service, process, operations) received from this source","Amount of information relevant to innovation (product/service, process, operations) received from this source",SIExchangeDepth3,,T
 Extent to which the information received from this source is different from the information you already have,Extent to which the information received from this source is different from the information you already have,SIUniqueness3,,T
" Number of organization, groups and communities you are both members of","Number of organization, groups and communities you are both members of",SICommunityOverlap3,,T
 I have known this individual for (in months),,SIDurationMonth3,,T
 Time spent (in minutes) on average (per interaction) in gathering information from this person,,SITimeMinutes3,,T
"Section II – About your organization's social climate

Below are different sets of statements that are intended to collect information about your organization's social climate. For each question, please select the option that best represents your opinion of your business unit. Members in my business unit will not take advantage of others even when the opportunity arises",Members in my business unit will not take advantage of others even when the opportunity arises,ClimateTrust1,,T
"Section II – About your organization's social climate

Below are different sets of statements that are intended to collect information about your organization's social climate. For each question, please select the option that best represents your opinion of your business unit. Members in my business unit will always keep the promises they make to one another",Members in my business unit will always keep the promises they make to one another,ClimateTrust2,,T
"Section II – About your organization's social climate

Below are different sets of statements that are intended to collect information about your organization's social climate. For each question, please select the option that best represents your opinion of your business unit. Members in my business unit will not knowingly do anything to disrupt the conversation",Members in my business unit will not knowingly do anything to disrupt the conversation,ClimateTrust3,,T
"Section II – About your organization's social climate

Below are different sets of statements that are intended to collect information about your organization's social climate. For each question, please select the option that best represents your opinion of your business unit. Members in my business unit behave in a consistent manner.",Members in my business unit behave in a consistent manner.,ClimateTrust4,,T
"Section II – About your organization's social climate

Below are different sets of statements that are intended to collect information about your organization's social climate. For each question, please select the option that best represents your opinion of your business unit. Members in my business unit are not truthful in dealing with one another",Members in my business unit are not truthful in dealing with one another,ClimateTrust5,T,T
" I know that other members in my business unit will help me, so it's only fair to help other members","I know that other members in my business unit will help me, so it's only fair to help other members",ClimateReciprocity1,,T
 I believe that members in my business unit would help me if I need it,I believe that members in my business unit would help me if I need it,ClimateReciprocity2,,T
 I feel a sense of belonging towards my business unit,I feel a sense of belonging towards my business unit,ClimateIdentification1,,T
 I have the feeling of togetherness or closeness in my business unit,I have the feeling of togetherness or closeness in my business unit,ClimateIdentification2,,T
 I have a strong negative feeling toward my business unit,I have a strong negative feeling toward my business unit,ClimateIdentification3,T,T
 I am proud to be a member of my business unit,I am proud to be a member of my business unit,ClimateIdentification4,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. Members use common terms or jargon",Members use common terms or jargon,ClimateSharedLang1,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. Members use understandable communication patterns during the discussion",Members use understandable communication patterns during the discussion,ClimateSharedLang2,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. Members use understandable narrative forms to post messages or articles",Members use understandable narrative forms to post messages or articles,ClimateSharedLang3,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. Members share the vision of helping others solve their professional problems",Members share the vision of helping others solve their professional problems,ClimateSharedVision1,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. Members do not share the same goal of learning from each other",Members do not share the same goal of learning from each other,ClimateSharedVision2,T,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. Members share the same value that 'helping others is pleasant'",Members share the same value that 'helping others is pleasant',ClimateSharedVision3,T,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. My business unit regularly organizes social events",My business unit regularly organizes social events,ClimateRelationInitation1,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. My business unit motivates its employees to create close social ties",My business unit motivates its employees to create close social ties,ClimateRelationInitation2,,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. My business unit discourages its employees to socialize",My business unit discourages its employees to socialize,ClimateRelationInitation3,T,T
"Below are different sets of statements that are intended to collect information about your organizations social climate. For each question, please select the option that best represents your opinion of your business unit. My business unit has established a mechanism and procedures to deal with conflict between us",My business unit has established a mechanism and procedures to deal with conflict between us,ClimateRelationInitation4,,T
"Section III – About your organization's knowledge sharing

Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit uses two-way communication on a regular basis, such as suggestion systems, electronic bulletin boards, or town hall/open meetings.","My business unit uses two-way communication on a regular basis, such as suggestion systems, electronic bulletin boards, or town hall/open meetings.",LearningEmbed1,,T
"Section III – About your organization's knowledge sharing

Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit enables people to get needed information at any time quickly and easily.",My business unit enables people to get needed information at any time quickly and easily.,LearningEmbed2,,T
"Section III – About your organization's knowledge sharing

Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit maintains an up-to-date database of employee skills.",My business unit maintains an up-to-date database of employee skills.,LearningEmbed3,,T
"Section III – About your organization's knowledge sharing

Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit creates systems to measure gaps between current and expected performance.",My business unit creates systems to measure gaps between current and expected performance.,LearningEmbed4,,T
"Section III – About your organization's knowledge sharing

Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit restricts access of lessons learned to employees.",My business unit restricts access of lessons learned to employees.,LearningEmbed5,,T
"Section III – About your organization's knowledge sharing

Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit measures the results of the time and resources spent on training.",My business unit measures the results of the time and resources spent on training.,LearningEmbed6,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit recognizes people for taking initiative.",My business unit recognizes people for taking initiative.,LearningEmpower1,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit do not give people choices in their work assignments.",My business unit do not give people choices in their work assignments.,LearningEmpower2,T,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit invites people to contribute to the organization’s vision.",My business unit invites people to contribute to the organization’s vision.,LearningEmpower3,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit gives people control over the resources they need to accomplish their work.",My business unit gives people control over the resources they need to accomplish their work.,LearningEmpower4,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit supports employees who take calculated risks.",My business unit supports employees who take calculated risks.,LearningEmpower5,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit builds an alignment of visions across different levels and work groups.",My business unit builds an alignment of visions across different levels and work groups.,LearningEmpower6,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit helps employees balance work and family.",My business unit helps employees balance work and family.,LearningConnection1,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit encourages people to think from a global perspective.",My business unit encourages people to think from a global perspective.,LearningConnection2,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit encourages everyone to bring the customers’ views into the decision making process.",My business unit encourages everyone to bring the customers’ views into the decision making process.,LearningConnection3,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit does not consider the impact of decisions on employee morale.",My business unit does not consider the impact of decisions on employee morale.,LearningConnection4,T,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit works together with the outside community to meet mutual needs.",My business unit works together with the outside community to meet mutual needs.,LearningConnection5,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. My business unit encourages people to get answers from across the organization when solving problems.",My business unit encourages people to get answers from across the organization when solving problems.,LearningConnection6,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. In my business unit, leaders generally support requests for learning opportunities and training.","In my business unit, leaders generally support requests for learning opportunities and training.",LearningLeader1,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. In my business unit, leaders share up-to-date information with employees about competitors, industry trends, and organizational directions.","In my business unit, leaders share up-to-date information with employees about competitors, industry trends, and organizational directions.",LearningLeader2,,T
"Below are different sets of statements that are intended to collect information about your organization's knowledge sharing. For each question, please select the option that best represents your opinion of your business unit. In my business unit, leaders empower others to help carry out the organization’s vision.","In my business unit, leaders empower others to help carry out the organization’s vision.",LearningLeader3,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). In the past three years, compared to our competitors... my business unit has introduced more innovative products and services","In the past three years, compared to our competitors... my business unit has introduced more innovative products and services",InnovProduct1,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... my business unit spends more efforts to develop new products/services in terms of hours/person",... my business unit spends more efforts to develop new products/services in terms of hours/person,InnovProduct2,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... my business unit is often first to market new product and service introductions",... my business unit is often first to market new product and service introductions,InnovProduct3,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... our new products and services are often perceived as very novel by customers",... our new products and services are often perceived as very novel by customers,InnovProduct4,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... my business unit has a lower success rate in new products and services launch",... my business unit has a lower success rate in new products and services launch,InnovProduct5,T,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... my business unit has introduced more number of changes in processes",... my business unit has introduced more number of changes in processes,InnovProcess1,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... my business unit has clever responses to new processes introduced by other companies in the same sector",... my business unit has clever responses to new processes introduced by other companies in the same sector,InnovProcess2,,T
"Section V – About your organization's innovation

Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the option that best represents your opinion). ... my business unit is constantly improving our business processes",... my business unit is constantly improving our business processes,InnovProcess3,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). Compared to our competitors,... we improvise on new methods than using conventional methods to solve problems","Compared to our competitors,... we improvise on new methods than using conventional methods to solve problems",InnovProcess4,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). ... my business unit has developed many new management approaches",... my business unit has developed many new management approaches,InnovOperation1,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). ... my business unit is constantly searching for new administrative systems by managers",... my business unit is constantly searching for new administrative systems by managers,InnovOperation2,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). ... my business unit is in a better position to introduce new administrative systems",... my business unit is in a better position to introduce new administrative systems,InnovOperation3,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). ... my business unit is often at the cutting edge of technology in new product and service introductions",... my business unit is often at the cutting edge of technology in new product and service introductions,InnovOperation4,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). ... my business unit is able to retain customers in the past three years",... my business unit is able to retain customers in the past three years,InnovCompetitor1,,T
"Over the past three years, how satisfied have you been with the overall performance of your business unit along the following dimensions? (Please select the number that best represents your opinion). ... my business unit has achieved better customer satisfaction in the past three years",... my business unit has achieved better customer satisfaction in the past three years,InnovCompetitor1,,T
Please select the option that best represents your opinion. % of total sales/output from breakthrough products introduced,% of total sales/output from breakthrough products introduced,InnovRadical1,,T
Please select the option that best represents your opinion. % of total sales/output from incremental features/functionalities introduced,% of total sales/output from incremental features/functionalities introduced,InnovRadical2,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because the work that I do is interesting", Because the work that I do is interesting,MotivationIntrinsic1,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  My job is so interesting that it is a motivation in itself", My job is so interesting that it is a motivation in itself,MotivationIntrinsic2,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because what I do in my work is exciting", Because what I do in my work is exciting,MotivationIntrinsic3,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  The tasks that I do at work themselves provide a driving force", The tasks that I do at work themselves provide a driving force,MotivationIntrinsic4,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because the tasks that I do at work are enjoyable", Because the tasks that I do at work are enjoyable,MotivationIntrinsic5,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because I have fun doing my job", Because I have fun doing my job,MotivationIntrinsic6,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Sometimes I become so inspired by my job that I almost forget everything else around me", Sometimes I become so inspired by my job that I almost forget everything else around me,MotivationIntrinsic7,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because my job is a large part of who I am", Because my job is a large part of who I am,MotivationIntegrated1,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because my work is one of the most important things in my life", Because my work is one of the most important things in my life,MotivationIntegrated2,,T
"Section V – About your individual preferences

To what extent do the following statements reflect reasons that you put some particular effort in your work? Please select the option that best represents your opinion.  Because my work is a chance to express my personal values", Because my work is a chance to express my personal values,MotivationIntegrated3,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because putting effort in to this job has personal significance for me, Because putting effort in to this job has personal significance for me,MotivationIdentified1,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion Because I am more likely to get rewarded if I put some particular effort in work,Because I am more likely to get rewarded if I put some particular effort in work,MotivationIdentified1,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because I personally consider it important to make an effort at work, Because I personally consider it important to make an effort at work,MotivationIdentified2,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion Because putting effort into this job aligns with my personal values,Because putting effort into this job aligns with my personal values,MotivationIdentified3,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because I have to prove to myself that I can, Because I have to prove to myself that I can,MotivationIntrojected1,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because otherwise I will feel bad about myself, Because otherwise I will feel bad about myself,MotivationIntrojected2,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because it makes me feel proud of myself, Because it makes me feel proud of myself,MotivationIntrojected3,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because otherwise I will feel ashamed of myself, Because otherwise I will feel ashamed of myself,MotivationIntrojected4,,T
To what extent do the following statements reflect reasons that you put some particular effort into the task or activity? Please select the option that best represents your opinion  Because I will get additional financial reward if I do, Because I will get additional financial reward if I do,MotivationExternal1,,T
You are currently employed at a company or business unit which would be categorized as (select one that applies the best):,,IndustryCategory,,T
,Other,IndustryOther,,
What is the types of work done in your business unit (Select all that apply)?,Application Development & Management,BusinessADM,,
,Application Support Service,BusinessASS,,
,Enterprise Solution,BusinessEES,,
,Infrastructure Management,BusinessICM,,
,IT Consulting,BusinessITC,,
,E-Commerce/Marketing,BusinessECM,,
,Mobile Application,BusinessMA,,
,Product Engineering,BusinessPE,,
,Testing Services,BusinessTES,,
,Other,BusinessOther,,
Number of employees in your business unit,,NumEmployee,,
My business unit in terms of spending/revenue compared to industry average is,,RevenueComp,,
Annual revenue of your business unit (last financial year in Rs. Crores),,Revenue,,
What would you consider to be your employment role? (Please select the most appropriate option),,Role,,
,Other,RoleOther,,
What would you consider to be your functional responsibility? (Please select the most appropriate option),,Responsibility,,
,Other,ResponsibilityOther,,
 How long have you been with your current company? (In months),,CompanyDuration,,
 What is your total professional experience in the industry? (In months),,TotalExperience,,
 How many organizations/business units you have worked in,,NumCompanies,,
Please enter your office location postal code:,,PostalCode,,
What is your educational background?,,Education,,
Please select your gender (optional),,Gender,,
How many community organizations/groups are you currently involved (that enables you to be innovative) outside of your company?,,NumCommunities,,
What is your role in the community organizations/groups you are currently involved (that enables you to be innovative)? Select all that apply,Member of group/ community,CommunityMember,,
,Board Member,CommunityBoard,,
,Coordinator,CommunityCoordinator,,
,Mentor,CommunityMentor,,
,Presenter,CommunityPresenter,,
,Participant,CommunityParticipant,,
,Other,CommunityOther,,
Name,,Name,,
Organization,,CompanyName,,
Email Address,,Email,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
